Budget	Famille	CSP
54	A	CSP1
55	A	CSP1
41	A	CSP1
53	A	CSP1
52	A	CSP1
53	A	CSP1
51	A	CSP1
40	A	CSP1
43	A	CSP1
48	A	CSP1
45	A	CSP2
50	A	CSP2
53	A	CSP2
57	A	CSP2
53	A	CSP2
32	A	CSP2
33	A	CSP2
49	A	CSP2
41	A	CSP2
42	A	CSP2
48	A	CSP3
49	A	CSP3
47	A	CSP3
50	A	CSP3
49	A	CSP3
53	A	CSP3
56	A	CSP3
55	A	CSP3
51	A	CSP3
54	A	CSP3
54	C	CSP1
41	C	CSP1
32	C	CSP1
42	C	CSP1
34	C	CSP1
26	C	CSP1
26	C	CSP1
26	C	CSP1
32	C	CSP1
42	C	CSP1
29	C	CSP2
33	C	CSP2
41	C	CSP2
36	C	CSP2
25	C	CSP2
41	C	CSP2
29	C	CSP2
31	C	CSP2
43	C	CSP2
34	C	CSP2
28	C	CSP3
33	C	CSP3
28	C	CSP3
46	C	CSP3
43	C	CSP3
34	C	CSP3
32	C	CSP3
26	C	CSP3
30	C	CSP3
22	C	CSP3
42	B	CSP1
40	B	CSP1
38	B	CSP1
33	B	CSP1
45	B	CSP1
39	B	CSP1
45	B	CSP1
27	B	CSP1
33	B	CSP1
37	B	CSP1
44	B	CSP2
34	B	CSP2
37	B	CSP2
35	B	CSP2
48	B	CSP2
45	B	CSP2
51	B	CSP2
42	B	CSP2
39	B	CSP2
47	B	CSP2
30	B	CSP3
34	B	CSP3
30	B	CSP3
43	B	CSP3
37	B	CSP3
33	B	CSP3
37	B	CSP3
51	B	CSP3
42	B	CSP3
39	B	CSP3
43	D	CSP1
47	D	CSP1
34	D	CSP1
32	D	CSP1
36	D	CSP1
31	D	CSP1
29	D	CSP1
35	D	CSP1
38	D	CSP1
42	D	CSP1
44	D	CSP2
36	D	CSP2
33	D	CSP2
26	D	CSP2
32	D	CSP2
30	D	CSP2
49	D	CSP2
45	D	CSP2
26	D	CSP2
30	D	CSP2
30	D	CSP3
32	D	CSP3
42	D	CSP3
45	D	CSP3
33	D	CSP3
36	D	CSP3
31	D	CSP3
38	D	CSP3
42	D	CSP3
33	D	CSP3
34	E	CSP1
45	E	CSP1
24	E	CSP1
21	E	CSP1
34	E	CSP1
33	E	CSP1
28	E	CSP1
30	E	CSP1
33	E	CSP1
36	E	CSP1
41	E	CSP2
32	E	CSP2
28	E	CSP2
25	E	CSP2
32	E	CSP2
22	E	CSP2
41	E	CSP2
40	E	CSP2
23	E	CSP2
26	E	CSP2
23	E	CSP3
28	E	CSP3
35	E	CSP3
35	E	CSP3
27	E	CSP3
30	E	CSP3
31	E	CSP3
21	E	CSP3
34	E	CSP3
33	E	CSP3
