Nom,Pays,Sexe,Distance,Taille,Poids,IMC,Temps,Vitesse
Campbell Cate,AUS,Femme,50,186,70,20.23355301,24.13,7.459593876
Sjostrom Sarah,SWE,Femme,50,186,70,20.23355301,24.15,7.453416168
Kromowidjojo Ranomi,NED,Femme,50,179,69,21.5349084,24.35,7.392197124
Halsall Francesca,GBR,Femme,50,173,59,19.71332153,24.38,7.383100896
Ottesen-Gray Jeanette,DEN,Femme,50,178,70,22.09317005,24.54,7.334963316
Campbell Bronte,AUS,Femme,50,179,58,18.10180706,24.58,7.323026868
Blume Pernille,DEN,Femme,50,171,58,19.83516296,24.59,7.320048804
Schlanger Melanie,AUS,Femme,50,176,65,20.9839876,24.69,7.290400968
Dekker Inge,NED,Femme,50,183,67,20.00656932,24.73,7.278608988
Herasimenia Aliaksandra,BLR,Femme,50,175,60,19.59183673,24.73,7.278608988
Heemskerk Femke,NED,Femme,50,180,67,20.67901235,24.8,7.258064508
Brandt Dorothea,GER,Femme,50,178,62,19.56823633,24.9,7.228915668
McKeon Emma,AUS,Femme,50,178,58,18.30576947,25,7.2
Santamans Anna,FRA,Femme,50,176,60,19.36983471,25.01,7.197121152
Elmslie Brittany,AUS,Femme,50,179,73,22.78330889,25.05,7.185628728
Kukla Yolane,AUS,Femme,50,168,61,21.61281179,25.15,7.157057652
Coughlin Natalie,USA,Femme,50,173,63,21.0498179,25.17,7.151370696
Smith Amy,GBR,Femme,50,172,59,19.94321255,25.17,7.151370696
Hosszu Katinka,HUN,Femme,50,170,56,19.37716263,25.19,7.14569274
Weir Amanda,USA,Femme,50,185,78,22.79035793,25.23,7.134363864
Vanderpool-Wallace Arianna,BAH,Femme,50,168,61,21.61281179,25.24,7.131537252
Manuel Simone,USA,Femme,50,180,67,20.67901235,25.27,7.123070844
Poon Victoria,CAN,Femme,50,184,73,21.56190926,25.29,7.117437708
Koschischek Birgit,AUT,Femme,50,169,60,21.0076678,25.34,7.103393856
Nielsen Mie,DEN,Femme,50,184,67,19.78969754,25.38,7.092198576
Medeiros Etiene,BRA,Femme,50,183,61,18.21493625,25.39,7.089405264
Muffat Camille,FRA,Femme,50,183,71,21.20099137,25.41,7.083825264
Coutts Alicia,AUS,Femme,50,176,70,22.5981405,25.42,7.08103854
Van Der Meer Maud,NED,Femme,50,180,64,19.75308642,25.46,7.069913604
O'Connor Siobhan-Marie,GBR,Femme,50,173,60,20.04744562,25.48,7.064364204
Coleman Michelle,SWE,Femme,50,182,65,19.62323391,25.49,7.06159278
Uchida Miki,JPN,Femme,50,170,62,21.4532872,25.49,7.06159278
Matsumoto Yayoi,JPN,Femme,50,168,65,23.03004535,25.51,7.056056448
Khitraya Yuliya,BLR,Femme,50,180,66,20.37037037,25.52,7.05329154
Garcia Vega Vanessa,PUR,Femme,50,170,59,20.41522491,25.54,7.047768204
Hardy Jessica,USA,Femme,50,183,69,20.60378035,25.59,7.033997664
Meilutyte Ruta,LTU,Femme,50,172,64,21.63331531,25.61,7.028504496
Matsuo Ami,AUS,Femme,50,182,70,21.13271344,25.68,7.0093458
Hansson Louise,SWE,Femme,50,187,71,20.30369756,25.73,6.99572484
Yamaguchi Misaki,JPN,Femme,50,165,59,21.67125803,25.74,6.993006984
Maree Trudi,RSA,Femme,50,171,70,23.93898977,25.78,6.982156728
Qiu Yuhan,CHN,Femme,50,175,53,17.30612245,25.81,6.974041068
Romano Megan,USA,Femme,50,186,77,22.25690831,25.84,6.965944272
Hermann Graciele,BRA,Femme,50,181,62,18.92494124,25.88,6.955177752
Garcia Venessa,PUR,Femme,50,170,59,20.41522491,25.94,6.939090216
Bianchi Ilaria,ITA,Femme,50,170,74,25.60553633,25.98,6.92840646
Sysmans Jolien,BEL,Femme,50,168,60,21.2585034,25.99,6.92574066
Campbell Cate,AUS,Femme,100,186,67,19.36640074,53.08,6.782215536
Herasimenia Aliaksandra,BLR,Femme,100,175,60,19.59183673,53.89,6.680274624
Campbell Bronte,AUS,Femme,100,179,58,18.10180706,53.98,6.669136728
Sjostrom Sarah,SWE,Femme,100,186,70,20.23355301,54.03,6.662965032
Manuel Simone,USA,Femme,100,180,67,20.67901235,54.38,6.620080896
Schlanger Melanie,AUS,Femme,100,176,65,20.9839876,54.44,6.612784704
Prinsloo Karin,RSA,Femme,100,183,70,20.90238586,54.48,6.607929528
Elmslie Brittany,AUS,Femme,100,179,73,22.78330889,54.55,6.599450052
Halsall Francesca,GBR,Femme,100,173,59,19.71332153,54.76,6.574141728
Shen Duo,CHN,Femme,100,180,72,22.22222222,54.77,6.57294138
Schmitt Allison,USA,Femme,100,185,74,21.62162162,54.86,6.562158228
Romano Megan,USA,Femme,100,186,77,22.25690831,54.94,6.552602856
Vanderpool-Wallace Arianna,BAH,Femme,100,168,61,21.61281179,54.94,6.552602856
Coleman Michelle,SWE,Femme,100,182,65,19.62323391,54.95,6.551410392
Matsuo Ami,AUS,Femme,100,182,70,21.13271344,54.95,6.551410392
Smith Amy,GBR,Femme,100,172,59,19.94321255,55.05,6.539509548
Weir Amanda,USA,Femme,100,185,75,21.9138057,55.06,6.538321836
Blume Pernille,DEN,Femme,100,171,58,19.83516296,55.15,6.527651868
