"Name","Sex","Event","Equipment","Age","AgeClass","Division","BodyweightKg","WeightClassKg","Squat1Kg","Squat2Kg","Squat3Kg","Squat4Kg","Best3SquatKg","Bench1Kg","Bench2Kg","Bench3Kg","Bench4Kg","Best3BenchKg","Deadlift1Kg","Deadlift2Kg","Deadlift3Kg","Deadlift4Kg","Best3DeadliftKg","TotalKg","Place","Wilks","McCulloch","Glossbrenner","IPFPoints","Tested","Country","Federation","Date","MeetCountry","MeetState","MeetName","id","na_count"
"Dirk Venter","M","SBD","Raw",39,"35-39","MO-R",107.6,"110",-230,230,240,NA,240,150,155,160,NA,160,-270,285,300,NA,300,700,"2",414.83,414.83,397.71,602.41,"","Australia","CAPO","2014-08-01","Australia","QLD","Nationals",917072,3
"Angelo Berardinelli","M","SBD","Multi-ply",44,"40-44","Pro Open",74.62,"75",340.19,362.87,NA,NA,362.87,219.99,226.8,235.87,NA,235.87,238.14,272.16,283.5,NA,283.5,882.24,"1",630.88,658.01,610.33,766.29,"","USA","SPF","2010-04-24","USA","","Iron House Classic",165855,4
"Bradley Aymer","M","SBD","Raw",33.5,"24-34","MR-O",135.2,"120+",187.5,200,210,NA,210,105,112.5,-120,NA,112.5,192.5,202.5,210,NA,210,532.5,"3",299.18,299.18,283.89,382.41,"Yes","","USAPL","2017-09-23","USA","MI","Michigan Rookie Rumble",749678,3
"Sandra Hommel","F","SBD","Raw",50.5,"50-54","FR-M2",61.12,"63",70,75,82.5,NA,82.5,37.5,45,47.5,NA,47.5,92.5,102.5,107.5,NA,107.5,237.5,"2",261.03,294.97,230.58,410.87,"Yes","","USAPL","2019-02-09","USA","GA","Georgia State Championships",697890,3
"Viktoria Cederholm","F","SBD","Raw",46.5,"45-49","Masters 1",55.2,"57",90,95,102.5,NA,102.5,62.5,67.5,70,NA,70,112.5,122.5,127.5,NA,127.5,300,"10",356.99,381.26,315.87,550.5,"Yes","Sweden","IPF","2016-06-19","USA","TX","World Classic Powerlifting Championships",1054056,3
"Draik Delino","M","SBD","Single-ply",19.5,"20-23","M-O",82.3,"83",180,190,-192.5,NA,190,120,130,132.5,NA,132.5,200,-210,-210,NA,200,522.5,"2",350.54,361.05,338.43,451.77,"Yes","","USAPL","2018-11-17","USA","LA","Abbeville Open and LA Collegiate Championships",701107,3
"Andy de Bod","F","SBD","Wraps",30,"24-34","F-O",62,"67.5",125,135,140,NA,140,62.5,-67.5,70,NA,70,140,150,160,NA,160,370,"1",402.23,402.23,355.24,646.51,"","","RhinoPC","2017-12-03","South Africa","","Tri-Nations",22225,3
"Sandy Kalz","F","SBD","Single-ply",24.5,"24-34","Open",50.6,"52",75,87.5,-100,NA,87.5,55,-60,-60,NA,55,65,70,80,NA,80,222.5,"2",283.25,283.25,251.37,378.83,"Yes","","BVDK","2002-09-06","Germany","","Deutsche Meisterschaften KDK Aktive",9859,3
"Adam Haavik","M","SBD","Raw",26.5,"24-34","Open",116.94,"120",275,290,-295,NA,290,185,192.5,200,NA,200,300,315,320,NA,320,810,"9",468.61,468.61,447.75,677.29,"Yes","Sweden","IPF","2015-06-05","Finland","","World Classic Powerlifting Championships",1027431,3
"Greg Wunrow","M","SBD","Raw",25.5,"24-34","MR-O",90.9,"93",250,-260,-260,NA,250,152.5,-157.5,-157.5,NA,152.5,-250,250,-260,NA,250,652.5,"3",414.47,414.47,399.33,617.58,"Yes","","USAPL","2017-01-28","USA","WI","Wisconsin State Open",678464,3
"Jett Gonzales","M","SBD","Raw",18,"18-19","MR-O",71.3,"74",142.5,150,-152.5,NA,150,-97.5,-97.5,-97.5,NA,NA,160,165,170,NA,170,NA,"DQ",NA,NA,NA,NA,"Yes","","USAPL","2016-09-24","USA","MI","Grand Rapids BarBellum",660292,9
"Pyry Savinen","M","SBD","Raw",16.5,"16-17","Under 17",82.23,"83",145,155,160,NA,160,82.5,90,-95,NA,90,200,210,-223.5,NA,210,460,"1",308.76,333.47,298.1,440.48,"Yes","Finland","SVNL","2017-11-18","Finland","","Nuorten klassisen voimanoston SM-kisat",1013724,3
"Gianni Garces","M","SBD","Raw",28.5,"24-34","MR-O",98.7,"105",220,-232.5,-240,NA,220,140,147.5,-152.5,NA,147.5,230,245,-255,NA,245,612.5,"4",374.75,374.75,360.3,544.88,"Yes","","USAPL","2019-01-26","USA","FL","Boynton Barbell Championship",684790,3
"Mason Murrow","M","SBD","Raw",17,"16-17","Sub-Juniors",86.6,"93",145,155,165,NA,165,70,85,-95,NA,85,180,200,210,NA,210,460,"2",299.7,323.68,289.05,424.49,"Yes","","NZPF","2017-03-01","New Zealand","WGN","Club Lift",924514,3
"Mustafa Yilmaz","M","SBD","Raw",30,"24-34","Open",93,"93",-175,-175,175,NA,175,110,115,-120,NA,115,180,200,207.5,NA,207.5,497.5,"5",312.52,312.52,300.94,443.84,"Yes","Germany","BVDK","2018-09-09","Germany","BW","LM BWG KDK RAW",20181,3
"Sommer Binash","F","SBD","Raw",26,"24-34","FR-O",51.2,"52",105,110,-115,NA,110,50,-57.5,-57.5,NA,50,130,-135,135,NA,135,295,"1",372.18,372.18,330.11,562.18,"Yes","USA","USAPL","2017-01-28","USA","WI","Wisconsin State Open",678561,3
"Itsuki Serikawa","M","SBD","Single-ply",17.5,"18-19","Sub-Juniors",81.6,"83",200,215,225,NA,225,120,127.5,137.5,NA,137.5,160,175,185,NA,185,547.5,"3",369.21,391.37,356.52,472.9,"Yes","Japan","IPF","2018-09-03","South Africa","","World Juniors & Sub-Juniors Championships",1032596,3
"Tim Morgan","M","SBD","Raw",22.5,"20-23","MR-O",83,"83",180,190,195,NA,195,-115,120,-125,NA,120,225,-240,-240,NA,225,540,"3",360.45,360.45,347.94,528.37,"Yes","","USAPL","2017-05-06","USA","WI","Milwaukee Open",728205,3
"Jack Beckwith","M","SBD","Raw",21.5,"20-23","MR-O",104,"105",202.5,212.5,217.5,NA,217.5,125,130,-137.5,NA,130,205,210,215,NA,215,562.5,"9",337.27,340.64,323.74,477.43,"Yes","","EPA","2019-03-16","UK","","Yorkshire North East Spring Open",228545,3
"Chris Leskiw","M","SBD","Wraps",29,"24-34","MOR",67.3,"67.5",170,177.5,-182.5,NA,177.5,105,110,-117.5,NA,110,205,-217.5,-217.5,NA,205,492.5,"1",380.63,380.63,369.24,555.42,"","","UPA","2017-09-02","USA","OH","Summer Showdown",1360020,3
"Taina Caldwell","F","SBD","Single-ply",17.5,"18-19","F-O",87,"84+",167.5,172.5,177.5,NA,177.5,57.5,67.5,82.5,NA,82.5,-142.5,-142.5,142.5,NA,142.5,402.5,"2",352.96,374.14,307.73,487.99,"Yes","","USAPL","2019-02-16","USA","LA","Pelican State Meet",755446,3
