"Name","Sex","Event","Equipment","Age","AgeClass","Division","BodyweightKg","WeightClassKg","Squat1Kg","Squat2Kg","Squat3Kg","Squat4Kg","Best3SquatKg","Bench1Kg","Bench2Kg","Bench3Kg","Bench4Kg","Best3BenchKg","Deadlift1Kg","Deadlift2Kg","Deadlift3Kg","Deadlift4Kg","Best3DeadliftKg","TotalKg","Place","Wilks","McCulloch","Glossbrenner","IPFPoints","Tested","Country","Federation","Date","MeetCountry","MeetState","MeetName","id","na_count"
"Noémie Allabert","F","SBD","Raw",27,"24-34","Open",46.46,"47",110,117.5,121.5,NA,121.5,60,65,67.5,NA,67.5,145,155,NA,NA,155,344,"1",466.5,466.5,416.23,700.58,"Yes","France","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257446,4
"Stéphanie Legard","F","SBD","Raw",36,"35-39","Open",46.68,"47",115,120,122.5,NA,122.5,67.5,72.5,-75,NA,72.5,130,135,-140,NA,135,330,"2",446,446,397.79,668.05,"Yes","France","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257447,3
"Coline Sirman","F","SBD","Raw",27,"24-34","Open",46.24,"47",87.5,-95,-95,NA,87.5,55,60,-62.5,NA,60,115,125,-132.5,NA,125,272.5,"3",370.79,370.79,330.97,545.57,"Yes","Switzerland","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257448,3
"Audrey Mingot","F","SBD","Raw",25,"24-34","Open",51.43,"52",102.5,107.5,110,NA,110,77.5,82.5,-85.5,NA,82.5,127.5,132.5,-137.5,NA,132.5,325,"1",408.61,408.61,362.36,621.81,"Yes","France","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257449,3
"Julia Dru","F","SBD","Raw",21,"20-23","Open",51.68,"52",107.5,112.5,-115,NA,112.5,50,55,-57.5,NA,55,142.5,-147.5,147.5,NA,147.5,315,"2",394.57,402.46,349.83,599.92,"Yes","France","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257450,3
"Marianne Bouvard","F","SBD","Raw",42,"40-44","Open",51.04,"52",97.5,102.5,107.5,NA,107.5,65,-70,NA,NA,65,110,117.5,120,NA,120,292.5,"3",369.91,377.31,328.14,558.01,"Yes","France","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257451,4
"Kaitlyn Dirksmeier","F","SBD","Raw",33,"24-34","Open",50.66,"52",87.5,95,-100,NA,95,52.5,57.5,-60,NA,57.5,97.5,105,110,NA,110,262.5,"G",333.87,333.87,296.27,498.61,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257452,3
"Mélodie Anthouard","F","SBD","Raw",29,"24-34","Open",56.45,"57",-137.5,137.5,-142.5,NA,137.5,95,100,103.5,NA,103.5,155,160,162.5,NA,162.5,403.5,"1",471.79,471.79,417.25,741.86,"Yes","France","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257453,3
"Caroline Sune","F","SBD","Raw",32,"24-34","Open",56.3,"57",147.5,152.5,155,NA,155,75,80,-82.5,NA,80,157.5,-162.5,162.5,NA,162.5,397.5,"2",465.75,465.75,411.93,731.45,"Yes","France","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257454,3
"Astrid Talpe","F","SBD","Raw",23,"20-23","Open",55.59,"57",-115,115,-117.5,NA,115,62.5,-67.5,-67.5,NA,62.5,130,135,-137.5,NA,135,312.5,"3",369.81,369.81,327.17,572.66,"Yes","France","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257455,3
"Laurie Julien","F","SBD","Raw",26,"24-34","Open",55.49,"57",107.5,112.5,115,NA,115,55,60,62.5,NA,62.5,120,130,-135,NA,130,307.5,"4",364.41,364.41,322.4,563.53,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257456,3
"Laura Isbled","F","SBD","Raw",28,"24-34","Open",56.42,"57",102.5,107.5,-110,NA,107.5,50,-55,-55,NA,50,-125,125,135,NA,135,292.5,"5",342.15,342.15,302.6,530.24,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257457,3
"Saymie Daria","F","SBD","Raw",19,"18-19","Open",55.09,"57",107.5,112.5,-120,NA,112.5,55,-62.5,-62.5,NA,55,110,122.5,-130,NA,122.5,290,"6",345.63,359.45,305.83,531.67,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257458,3
"Isabelle Huchet","F","SBD","Raw",36,"35-39","Open",56.61,"57",-100,100,-105,NA,100,52.5,55,NA,NA,55,125,132.5,-140,NA,132.5,287.5,"7",335.41,335.41,296.62,519.86,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257459,4
"Laura Jeanson","F","SBD","Raw",26,"24-34","Open",56,"57",90,95,100,NA,100,45,50,52.5,NA,52.5,-110,120,127.5,NA,127.5,280,"8",329.45,329.45,291.41,508.21,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257460,3
"Prescillia Bavoil","F","SBD","Raw",24,"24-34","Open",61.59,"63",160,-165,165,NA,165,82.5,87.5,-90,NA,87.5,185,192.5,NA,NA,192.5,445,"1",486.22,486.22,429.46,783.93,"Yes","France","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257461,4
"Kelly Paszkowski","F","SBD","Raw",28,"24-34","Open",60.12,"63",137.5,142.5,-147.5,NA,142.5,70,75,77.5,NA,77.5,165,172.5,177.5,NA,177.5,397.5,"2",442.48,442.48,390.95,706.8,"Yes","France","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257462,3
"Victoria Pollastri","F","SBD","Raw",24,"24-34","Open",61.85,"63",120,130,140,NA,140,70,75,-80,NA,75,135,145,155,NA,155,370,"3",402.97,402.97,355.91,647.28,"Yes","France","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257463,3
"Charlotte Vedel","F","SBD","Raw",24,"24-34","Open",59.83,"63",100,105,107.5,NA,107.5,82.5,87.5,90,NA,90,127.5,135,142.5,NA,142.5,340,"4",379.9,379.9,335.67,602.9,"Yes","France","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257464,3
"Cyrielle Amegnizin","F","SBD","Raw",29,"24-34","Open",62.79,"63",110,120,-125,NA,120,-50,55,62.5,NA,62.5,130,140,150,NA,150,332.5,"5",358,358,316.13,575.7,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257465,3
"Nina Le Blevenec","F","SBD","Raw",46,"45-49","Open",59.98,"63",115,122.5,-127.5,NA,122.5,52.5,57.5,-60,NA,57.5,150,-160,-160,NA,150,330,"6",368.01,393.03,325.16,583.82,"Yes","France","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257466,3
"Amandine Roche","F","SBD","Raw",28,"24-34","Open",62.46,"63",110,115,-117.5,NA,115,62.5,65,67.5,NA,67.5,120,125,-130,NA,125,307.5,"7",332.41,332.41,293.55,532.41,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257467,3
"Laura Malterre","F","SBD","Raw",20,"20-23","Open",60.49,"63",-102.5,102.5,-110,NA,102.5,67.5,70,-72.5,NA,70,90,-102.5,NA,NA,90,262.5,"8",290.82,299.55,256.93,458.27,"Yes","France","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257468,4
"Camille Fabre","F","SBD","Raw",26,"24-34","Open",69.18,"72",130,135,-140,NA,135,80,85,-87.5,NA,85,140,150,-155,NA,150,370,"1",371.11,371.11,327.22,614.12,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257469,3
"Prescia Gayino","F","SBD","Raw",35,"35-39","Open",69.43,"72",110,120,127.5,NA,127.5,50,-55,55,NA,55,155,165,-170,NA,165,347.5,"2",347.67,347.67,306.52,575.35,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257470,3
"Camille Pailha","F","SBD","Raw",18,"18-19","Open",66.68,"72",115,122.5,127.5,NA,127.5,80,-82.5,-82.5,NA,80,130,137.5,-140,NA,137.5,345,"3",355.23,376.55,313.43,581.55,"Yes","France","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257471,3
"Anne-Olympe Moulet","F","SBD","Raw",27,"24-34","Open",63.49,"72",120,130,137.5,NA,137.5,95,100,102.5,NA,102.5,100,-125,-125,NA,100,340,"4",363.02,363.02,320.52,586.01,"Yes","France","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257472,3
"Julie Marie Bordeau","F","SBD","Raw",52,"50-54","Open",69.23,"72",110,-117.5,120,NA,120,55,60,62.5,NA,62.5,145,155,-165,NA,155,337.5,"5",338.35,394.17,298.32,559.27,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257473,3
"Stéphanie Ciuti","F","SBD","Raw",37,"35-39","Open",67.81,"72",100,-110,-110,NA,100,60,-65,65,NA,65,142.5,-147.5,147.5,NA,147.5,312.5,"6",317.9,317.9,280.41,521.85,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257474,3
"Innès Allouache","F","SBD","Raw",18,"18-19","Open",82.31,"84",120,130,135,NA,135,62.5,67.5,70,NA,70,160,170,-175,NA,170,375,"1",337.89,358.17,295.81,578.06,"Yes","France","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257475,3
"Camille Dezier","F","SBD","Raw",26,"24-34","Open",123.71,"84+",155,160,-165,NA,160,-87.5,-87.5,87.5,NA,87.5,160,167.5,-172.5,NA,167.5,415,"1",330.07,330.07,279.22,550.43,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257476,3
"Cindy Hebe","F","SBD","Raw",30,"24-34","Open",92.43,"84+",125,135,145,NA,145,80,-85,85,NA,85,170,-180,-185,NA,170,400,"2",341.98,341.98,296.46,588.67,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257477,3
"Jennifer Bailleul","F","SBD","Raw",32,"24-34","Open",120.14,"84+",150,-160,160,NA,160,50,55,-60,NA,55,157.5,-165,-165,NA,157.5,372.5,"3",297.81,297.81,252.33,501.61,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257478,3
"Sandra Urgelles Maleta","F","SBD","Raw",33,"24-34","Open",132.36,"84+",140,145,150,NA,150,60,-65,-65,NA,60,137.5,145,-150,NA,145,355,"G",278.94,278.94,235.27,465.35,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257479,3
"Vincent Todaro","M","SBD","Raw",33,"24-34","Open",59,"59",165,170,-175,NA,170,90,95,NA,NA,95,205,215,220,NA,220,485,"1",420.09,420.09,409.66,608.74,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257480,4
"Antoine Garcia","M","SBD","Raw",23,"20-23","Open",58.71,"59",160,170,175,NA,175,80,-85,-85,NA,80,180,192.5,-200,NA,192.5,447.5,"2",389.4,389.4,379.81,557.5,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257481,3
"Thomas Louet","M","SBD","Raw",27,"24-34","Open",65.3,"66",182.5,190,-195,NA,190,125,130,135,NA,135,247.5,260,267.5,NA,267.5,592.5,"1",469.35,469.35,455.76,701.84,"Yes","France","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257482,3
"Panagiotis Tarinidis","M","SBD","Raw",24,"24-34","Open",65.78,"66",-205,-205,205,NA,205,145,-150,150,NA,150,225,237.5,-242.5,NA,237.5,592.5,"2",466.51,466.51,452.89,697.8,"Yes","France","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257483,3
"Cédric Merle","M","SBD","Raw",28,"24-34","Open",65.59,"66",195,-202.5,-202.5,NA,195,-127.5,-135,135,NA,135,227.5,235,240,NA,240,570,"3",449.87,449.87,436.77,669.6,"Yes","France","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257484,3
"Benjamin Mermoz","M","SBD","Raw",32,"24-34","Open",64.8,"66",192.5,200,-205,NA,200,-137.5,140,-145,NA,140,185,200,207.5,NA,207.5,547.5,"4",436.5,436.5,423.97,646.05,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257485,3
"Frédéric Mannequin","M","SBD","Raw",24,"24-34","Open",65.88,"66",200,207.5,-210.5,NA,207.5,125,-130,NA,NA,125,215,-225,NA,NA,215,547.5,"5",430.54,430.54,417.94,637.58,"Yes","France","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257486,5
"Sébastien Jugant","M","SBD","Raw",29,"24-34","Open",65.14,"66",180,185,187.5,NA,187.5,100,-105,105,NA,105,220,232.5,-237.5,NA,232.5,525,"6",416.73,416.73,404.7,613.41,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257487,3
"François Merland","M","SBD","Raw",34,"24-34","Open",65.24,"66",180,-185,187.5,NA,187.5,105,107.5,110,NA,110,210,215,-220,NA,215,512.5,"7",406.29,406.29,394.54,596.05,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257488,3
"Richard Combes","M","SBD","Raw",32,"24-34","Open",65.28,"66",167.5,170,175,NA,175,127.5,132.5,135,NA,135,185,-192.5,-192.5,NA,185,495,"8",392.21,392.21,380.86,572.51,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257489,3
"Quentin Descolat","M","SBD","Raw",25,"24-34","Open",65.93,"66",175,182.5,-187.5,NA,182.5,100,105,107.5,NA,107.5,190,200,-210,NA,200,490,"9",385.08,385.08,373.81,561.35,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257490,3
"Álvaro Fernández Ramos #1","M","SBD","Raw",28,"24-34","Open",64.91,"66",185,190,-195,NA,190,120,125,130,NA,130,185,200,-210,NA,200,520,"G",413.98,413.98,402.08,608.5,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257491,3
"Hassan El Belghiti","M","SBD","Raw",43,"40-44","Open",70.05,"74",227.5,235,-242.5,NA,235,135,140,-145,NA,140,290,302.5,305,NA,305,680,"1",509.31,525.09,493.49,775.4,"Yes","France","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257492,3
"Adrien Poinson","M","SBD","Raw",26,"24-34","Open",72.03,"74",230,-235,-235,NA,230,200,205,-207.5,NA,205,-245,NA,245,NA,245,680,"2",498.77,498.77,482.92,759.57,"Yes","France","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257493,4
"Kévin Bressano","M","SBD","Raw",26,"24-34","Open",73.26,"74",190,-200,200,NA,200,130,135,140,NA,140,250,260,265,NA,265,605,"3",438.32,438.32,424.22,658.13,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257494,3
"Cédric Letellier","M","SBD","Raw",23,"20-23","Open",73.99,"74",220,-225,-225,NA,220,137.5,142.5,-150,NA,142.5,227.5,NA,-237.5,NA,227.5,590,"4",424.44,424.44,410.69,635.05,"Yes","France","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257495,4
"Jérémy Begue","M","SBD","Raw",31,"24-34","Open",73.34,"74",185,195,205,NA,205,142.5,150,-152.5,NA,150,215,222.5,227.5,NA,227.5,582.5,"5",421.69,421.69,408.11,629.99,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257496,3
"Hoang Thuan N Guyen","M","SBD","Raw",24,"24-34","Open",73.07,"74",-205,-215,215,NA,215,105,-115,115,NA,115,220,240,-252.5,NA,240,570,"6",413.74,413.74,400.45,616.34,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257497,3
"Abdelmalik N'Mili","M","SBD","Raw",23,"20-23","Open",72.22,"74",185,-200,-200,NA,185,105,110,115,NA,115,240,-250,NA,NA,240,540,"7",395.31,395.31,382.73,584.55,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257498,4
"Thomas Houpert","M","SBD","Raw",27,"24-34","Open",80.07,"83",-235,-240,240,NA,240,175,-180,-180,NA,175,245,255,-260,NA,255,670,"1",457.16,457.16,441.6,692.84,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257499,3
"Maël Le Paven","M","SBD","Raw",37,"35-39","Open",81.82,"83",-250,250,255,NA,255,-147.5,147.5,-152.5,NA,147.5,262.5,267.5,-275,NA,267.5,670,"2",451.08,451.08,435.55,682.61,"Yes","","FFForce","2018-04-28","France","","France Force Athlétique Elite",1257500,3
